#,Set Name,Prime Form,Vector,Description
0,0-1,empty,0,Null set
1,1-1,0,0,Unison
2,2-1,1,100000,Semitone
3,2-2,2,10000,Whole-tone
4,2-3,3,1000,Minor Third
5,2-4,4,100,Major Third
6,2-5,5,10,Perfect Fourth
7,2-6,6,1,Tritone
8,3-1,12,210000,BACH /Chromatic Trimirror
9,3-2,13,111000,Phrygian Trichord
10,3-2,23,111000,Minor Trichord
11,3-3,14,101100,Major-minor Trichord.1
12,3-3,34,101100,Major-minor Trichord.2
13,3-4,15,100110,Incomplete Major-seventh Chord.1
14,3-4,45,100110,Incomplete Major-seventh Chord.2
15,3-5,16,100011,"Rite chord.2, Tritone-fourth.1"
16,3-5,56,100011,"Rite chord.1, Tritone-fourth.2"
17,3-6,24,20100,Whole-tone Trichord
18,3-7,25,11010,Incomplete Minor-seventh Chord
19,3-7,35,11010,Incomplete Dominant-seventh Chord.2
20,3-8,26,10101,Incomplete Dominant-seventh Chord.1/Italian-sixth
21,3-8,46,10101,Incomplete Half-dim-seventh Chord
22,3-9,27,10020,Quartal Trichord
23,3-10,36,2001,Diminished Chord
24,3-11,37,1110,Minor Chord
25,3-11,47,1110,Major Chord
26,3-12,48,300,Augmented Chord
27,4-1,123,321000,BACH /Chromatic Tetramirror
28,4-2,124,221100,Major-second Tetracluster.2
29,4-2,234,221100,Major-second Tetracluster.1
30,4-3,134,212100,Alternating Tetramirror
31,4-4,125,211110,Minor Third Tetracluster.2
32,4-4,345,211110,Minor Third Tetracluster.1
33,4-5,126,210111,Major Third Tetracluster.2
34,4-5,456,210111,Major Third Tetracluster.1
35,4-6,127,210021,Perfect Fourth Tetramirror
36,4-7,145,201210,Arabian Tetramirror
37,4-8,156,200121,Double Fourth Tetramirror
38,4-9,167,200022,Double Tritone Tetramirror
39,4-10,235,122010,Minor Tetramirror
40,4-11,135,121110,Phrygian Tetrachord
41,4-11,245,121110,Major Tetrachord
42,4-12,236,112101,Harmonic-minor Tetrachord
